season,team,matches_played,wins,losses,no_result,points,win_pct
2017,Kolkata Knight Riders,16,9,7,0,18,56.2
2017,Sunrisers Hyderabad,14,8,6,0,16,57.1
2017,Kings XI Punjab,14,7,7,0,14,50.0
2017,Delhi Daredevils,14,6,8,0,12,42.9
2017,Gujarat Lions,14,4,10,0,8,28.6
2017,Royal Challengers Bangalore,13,3,10,0,6,23.1
2018,Chennai Super Kings,16,11,5,0,22,68.8
2018,Sunrisers Hyderabad,17,10,7,0,20,58.8
2018,Kolkata Knight Riders,16,9,7,0,18,56.2
2018,Rajasthan Royals,15,7,8,0,14,46.7
2018,Kings XI Punjab,14,6,8,0,12,42.9
2018,Mumbai Indians,14,6,8,0,12,42.9
2018,Royal Challengers Bangalore,14,6,8,0,12,42.9
2018,Delhi Daredevils,14,5,9,0,10,35.7
2019,Mumbai Indians,16,11,5,0,22,68.8
2019,Chennai Super Kings,17,10,7,0,20,58.8
2019,Delhi Capitals,16,10,6,0,20,62.5
2019,Kings XI Punjab,14,6,8,0,12,42.9
2019,Kolkata Knight Riders,14,6,8,0,12,42.9
2019,Sunrisers Hyderabad,15,6,9,0,12,40.0
2019,Rajasthan Royals,14,5,8,1,11,35.7
2019,Royal Challengers Bangalore,14,5,8,1,11,35.7
2020/21,Mumbai Indians,16,11,5,0,22,68.8
2020/21,Delhi Capitals,17,9,8,0,18,52.9
2020/21,Sunrisers Hyderabad,16,8,8,0,16,50.0
2020/21,Kolkata Knight Riders,14,7,7,0,14,50.0
2020/21,Royal Challengers Bangalore,15,7,8,0,14,46.7
2020/21,Chennai Super Kings,14,6,8,0,12,42.9
2020/21,Kings XI Punjab,14,6,8,0,12,42.9
2020/21,Rajasthan Royals,14,6,8,0,12,42.9
2021,Chennai Super Kings,16,11,5,0,22,68.8
2021,Delhi Capitals,16,10,6,0,20,62.5
2021,Kolkata Knight Riders,17,9,8,0,18,52.9
2021,Royal Challengers Bangalore,15,9,6,0,18,60.0
2021,Mumbai Indians,14,7,7,0,14,50.0
2021,Punjab Kings,14,6,8,0,12,42.9
2021,Rajasthan Royals,14,5,9,0,10,35.7
2021,Sunrisers Hyderabad,14,3,11,0,6,21.4
2022,Gujarat Titans,16,12,4,0,24,75.0
2022,Rajasthan Royals,17,10,7,0,20,58.8
2022,Lucknow Super Giants,15,9,6,0,18,60.0
2022,Royal Challengers Bangalore,16,9,7,0,18,56.2
2022,Delhi Capitals,14,7,7,0,14,50.0
2022,Punjab Kings,14,7,7,0,14,50.0
2022,Kolkata Knight Riders,14,6,8,0,12,42.9
2022,Sunrisers Hyderabad,14,6,8,0,12,42.9
2022,Chennai Super Kings,14,4,10,0,8,28.6
2022,Mumbai Indians,14,4,10,0,8,28.6
2023,Gujarat Titans,17,11,6,0,22,64.7
2023,Chennai Super Kings,16,10,5,1,21,62.5
2023,Mumbai Indians,16,9,7,0,18,56.2
2023,Lucknow Super Giants,15,8,6,1,17,53.3
2023,Rajasthan Royals,14,7,7,0,14,50.0
2023,Royal Challengers Bangalore,14,7,7,0,14,50.0
2023,Kolkata Knight Riders,14,6,8,0,12,42.9
2023,Punjab Kings,14,6,8,0,12,42.9
2023,Delhi Capitals,14,5,9,0,10,35.7
2023,Sunrisers Hyderabad,14,4,10,0,8,28.6
2024,Kolkata Knight Riders,14,11,3,0,22,78.6
2024,Rajasthan Royals,15,9,6,0,18,60.0
2024,Sunrisers Hyderabad,16,9,7,0,18,56.2
2024,Chennai Super Kings,14,7,7,0,14,50.0
2024,Delhi Capitals,14,7,7,0,14,50.0
2024,Lucknow Super Giants,14,7,7,0,14,50.0
2024,Royal Challengers Bengaluru,15,7,8,0,14,46.7
2024,Gujarat Titans,12,5,7,0,10,41.7
2024,Punjab Kings,14,5,9,0,10,35.7
2024,Mumbai Indians,14,4,10,0,8,28.6
